iter	Passed	Remaining
196	286	1167
197	287	1162
198	287	1157
199	288	1152
200	288	1147
201	289	1142
202	289	1138
203	290	1133
204	290	1128
205	291	1123
206	292	1118
207	292	1114
208	293	1109
209	293	1105
210	295	1103
211	296	1101
212	296	1097
213	297	1092
214	298	1088
215	298	1083
216	299	1079
217	299	1075
218	300	1071
219	301	1067
220	301	1063
221	302	1059
222	302	1055
223	303	1051
224	304	1047
225	304	1043
226	305	1039
227	305	1035
228	306	1031
229	306	1027
230	307	1023
231	307	1019
232	310	1021
233	311	1018
234	312	1016
235	312	1012
236	313	1009
237	314	1005
238	314	1002
239	315	998
240	316	995
241	316	991
242	317	988
243	318	986
244	318	982
245	319	979
246	320	976
247	320	972
248	321	969
249	322	966
250	322	963
251	323	959
252	324	956
253	325	954
254	325	952
255	326	949
256	327	946
257	328	943
258	328	940
259	329	937
260	329	934
261	330	930
262	331	927
263	331	924
264	332	922
265	333	919
266	333	916
267	334	913
268	334	910
269	335	907
270	336	904
271	336	901
272	337	898
273	338	895
274	339	893
275	339	891
276	340	889
277	341	887
278	342	884
279	343	882
280	343	879
281	344	876
282	344	873
283	345	871
284	346	868
285	347	866
286	347	863
287	348	860
288	348	858
289	349	855
290	350	853
291	350	850
292	351	847
293	351	845
294	352	842
295	353	839
296	353	837
297	354	835
298	356	835
299	357	833
300	357	830
301	358	828
302	359	825
303	359	823
304	360	821
305	361	819
306	362	817
307	362	815
308	363	813
309	364	810
310	364	808
311	365	805
312	366	803
313	366	800
314	367	798
315	367	796
316	368	793
317	369	791
318	369	789
319	370	788
320	371	786
321	373	786
322	374	783
323	374	781
324	375	779
325	375	777
326	376	775
327	377	773
328	378	771
329	378	769
330	379	767
331	380	764
332	380	762
333	381	760
334	382	758
335	382	756
336	383	753
337	383	751
338	384	749
339	385	747
340	386	747
341	387	745
342	388	743
343	389	742
344	389	740
345	390	738
346	391	736
347	391	734
348	392	732
349	393	729
350	393	727
351	394	725
352	394	723
353	395	721
354	395	719
355	396	717
356	396	714
357	397	712
358	398	711
359	398	709
360	399	706
361	400	705
362	401	704
363	402	703
364	403	701
365	403	699
366	404	697
367	404	695
368	405	693
369	406	691
370	406	689
371	407	687
372	407	685
373	408	683
374	408	681
375	409	679
376	410	677
377	410	675
378	411	674
379	411	672
380	412	670
381	413	668
382	413	666
383	414	664
384	414	662
385	415	661
386	416	660
387	417	658
388	418	656
389	418	655
390	419	653
391	420	651
392	420	649
393	421	647
394	421	646
395	422	644
396	423	642
397	423	640
398	424	639
399	424	637
400	425	635
401	426	633
402	426	632
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	431	620
410	431	619
411	432	617
412	433	616
413	434	614
414	434	613
415	435	611
416	435	609
417	436	607
418	437	606
419	437	604
420	438	602
421	439	601
422	439	599
423	440	598
424	440	596
425	441	594
426	442	593
427	442	591
428	443	589
429	443	588
430	444	586
431	444	584
432	445	583
433	446	582
434	447	580
435	448	579
436	448	578
437	449	576
438	450	575
439	450	573
440	451	572
441	452	570
442	452	569
443	453	567
444	454	566
445	454	564
446	455	563
447	455	561
448	456	560
449	457	558
450	457	557
451	458	555
452	458	554
453	459	552
454	460	551
455	461	550
456	461	548
457	462	547
458	463	546
459	464	545
460	465	543
461	465	542
462	466	540
463	466	539
464	467	538
465	468	536
466	468	535
467	469	533
468	470	532
469	470	530
470	471	529
471	472	528
472	472	526
473	473	525
474	473	523
475	474	522
476	475	521
477	476	520
478	476	518
479	477	517
480	478	516
481	479	515
482	480	514
483	481	512
484	481	511
485	482	510
486	483	509
487	484	507
488	484	506
489	485	505
490	486	504
